S.No,College Name,Address
321,Sri Prakash College of Technology,"East Godavari District, Andhra Pradesh"
322,"Sri Prakash College of Technology, East Godavari","East Godavari District, Andhra Pradesh"
323,Sri Raghavendra Institute of Science and Technology,"Nellore, Andhra Pradesh"
324,Sri Sai College of Engineering and Technology,"Anantapur, Andhra Pradesh"
325,Sri Sai Ganapathi Engineering College,"Visakhapatnam, Andhra Pradesh"
326,Sri Sai Institute of Technology and Science,"Rayachoti, Kadapa District, Andhra Pradesh"
327,Sri Sai Madhavi Institute of Science and Technology,"Mallampudi, Guntur District, Andhra Pradesh"
328,Sri Sarathi Institute of Engineering and Technology,"Krishna District, Andhra Pradesh"
329,Sri Satya Narayana (SSN) Engineering College,"Ongole, Prakasam District, Andhra Pradesh"
330,"Sri Satya Narayana College of Engineering and Technology, Ongole","Ongole, Prakasam District, Andhra Pradesh"
331,Sri Sivani College of Engineering,"Srikakulam, Andhra Pradesh"
332,Sri Sivani Institute of Technology,"Srikakulam, Andhra Pradesh"
333,Sri Sunflower College of Engineering and Technology,"Krishna District, Andhra Pradesh"
334,Sri Vani Educational Society Group of Institutions,"Vijayawada, Krishna District, Andhra Pradesh"
335,Sri Vasavi Engineering College,"Tadepalligudem, West Godavari District, Andhra Pradesh"
336,Sri Vasavi Institute of Engineering and Technology,"Pedana/Peravali, Krishna/West Godavari District, Andhra Pradesh"
337,Sri Vatsavai Krishnam Raju College of Engineering and Technology,"West Godavari District, Andhra Pradesh"
338,Sri Veeravenkata Satyanarayana (SVVSN) Engineering College,"S N Padu, Prakasam District, Andhra Pradesh"
339,Sri Venkatesa Perumal College of Engineering and Technology (SVPCET),"Puttur, Chittoor District, Andhra Pradesh"
340,Sri Venkateswara College of Engineering (SVCE),"Tirupati, Andhra Pradesh"
341,Sri Venkateswara College of Engineering and Technology (SVCET),"Etcherla, Srikakulam District, Andhra Pradesh"
342,"Sri Venkateswara College of Engineering, Kadapa","Kadapa, Andhra Pradesh"
343,"Sri Venkateswara Engineering College, Tirupati (SVEC)","Tirupati, Andhra Pradesh"
344,Sri Venkateswara Institute of Science and Information Technology,"West Godavari District, Andhra Pradesh"
345,"Sri Venkateswara Institute of Science and Information Technology, West Godavari","West Godavari District, Andhra Pradesh"
346,Sri Venkateswara Institute of Science and Technology,"Kadapa, Andhra Pradesh"
347,"Sri Venkateswara Institute of Science and Technology, Kovur","Kovur, Nellore District, Andhra Pradesh"
348,Sri Venkateswara Institute of Technology,"Anantapur, Andhra Pradesh"
349,Sri Venkateswara University College of Engineering,"Tirupati, Andhra Pradesh"
350,Sri Vidyanikethan Engineering College,"Tirupati, Andhra Pradesh"
351,Sri Vijaya Institute of Technology for Women,"Vijayawada, Krishna District, Andhra Pradesh"
352,Srinivasa College of Engineering and Technology,"East Godavari District, Andhra Pradesh"
353,"Srinivasa College of Engineering and Technology, East Godavari","East Godavari District, Andhra Pradesh"
354,Srinivasa Institute of Engineering and Technology,"Amalapuram/Kadapa/Thiruvallur, Andhra Pradesh"
355,Srinivasa Ramanujan Institute of Technology,"Anantapur, Andhra Pradesh"
356,St Ann's College of Engineering and Technology (SACET),"Chirala, Prakasam District, Andhra Pradesh"
357,St Anns Engineering College,"Chirala, Prakasam District, Andhra Pradesh"
358,St Johns College of Engineering and Technology,"Kurnool, Andhra Pradesh"
359,St Mark Educational Institution Society Group of Institution,"Anantapur, Andhra Pradesh"
360,St Mary's Group of Institutions,"Guntur, Andhra Pradesh"
361,St Mary's Women Engineering College,"Guntur, Andhra Pradesh"
362,"St Mary's Women's Engineering College, Guntur","Guntur, Andhra Pradesh"
363,Stanley Stephen College of Engineering and Technology,"Kurnool, Andhra Pradesh"
364,Swamy Vivekananda Engineering College,"Vizianagaram, Andhra Pradesh"
